date,retweets,favorites,vader,finBERT,finBERT_min,finBERT_max,buzz,buzz_n,sent_wn,sent12,sent26,sent50,sent200,adjclose,volume,EMA12,EMA26,EMA50,EMA200
2019-09-26,6892,13744,0.04959651162790697,-0.0514086276744186,-0.9287719999999999,0.8969280000000001,20636,1.1228932546945019,0.9462849506959915,-0.08123416038340986,-0.08281502279911325,-0.08395049038775375,-0.0730666784701904,293.8191833496094,56179700,294.19403439996415,292.55001912308535,290.7371972823269,281.99436854898283
2019-09-27,1621,3252,-0.03476493506493507,-0.17728319675324677,-0.937053,0.8378469999999999,4873,-0.27466825030656716,0.9703105093890264,-0.09601093520953863,-0.08981266531423425,-0.08761059651973387,-0.07410365875161386,292.236328125,84746600,293.8928488192004,292.52678275285683,290.79598672713763,282.09627859451535
2019-09-30,2375,6034,-0.07730131578947369,-0.1739945325,-0.884185,0.626913,8409,0.03883663338840079,0.9577917565292574,-0.08715161787568426,-0.08535891351189144,-0.08517220179181324,-0.07381418637168966,293.5916442871094,51662400,293.84650966041715,292.6056613850237,290.90562035694046,282.2106603427004
2019-10-01,2488,4393,-0.037365517241379306,-0.11600862080459771,-0.947699,0.834726,6881,-0.09663719644358763,0.9618482495019328,-0.09159115678782478,-0.08762926220024005,-0.08638147312564792,-0.07423403149042505,290.0994567871094,88242400,293.27003998760057,292.42001659999306,290.87400609930006,282.2891558297095
2019-10-02,1944,4369,-0.0232078947368421,-0.2255290656578947,-0.9547209999999999,0.9117190000000001,6313,-0.1469965782135938,0.9668017220765998,-0.1121969889216817,-0.09784406245636261,-0.09183824146024584,-0.07573945471597202,284.9749450683594,122539500,291.99387153848653,291.8685298198721,290.6426703725965,282.31588010074086
2019-10-03,2247,3975,-0.003422727272727276,-0.130859684125,-0.912834,0.8782780000000001,6222,-0.15506471860280255,0.9638983761152224,-0.11506817279911528,-0.10028966406144685,-0.09336849411376562,-0.0762879147100917,287.3096923828125,85278800,291.27322859145977,291.5308381578677,290.5119653533893,282.3655697751894
2019-10-04,2164,4166,-0.034228571428571435,-0.21009488232467538,-0.942832,0.841551,6330,-0.14548934319582954,0.966218032582689,-0.12968766657227837,-0.10842338393279712,-0.0979459995338013,-0.07761932732317214,291.1976013183594,65091200,291.2615936263674,291.5061539475338,290.5388530382901,282.4534506860667
2019-10-07,14970,22078,-0.07238142857142857,-0.15349003028571426,-0.9060799999999999,0.871027,37048,2.5779956730208067,0.8699845555483493,-0.10713579946707096,-0.09993094523809416,-0.09422824377944865,-0.0771967059947136,289.941162109375,59610500,291.0584503160609,291.3902286261887,290.51541417833266,282.52795527734344
2019-10-08,2747,5272,-0.02629610389610389,-0.13391063662337657,-0.9155469999999999,0.8686940000000001,8019,0.004258888863220501,0.9591885495520053,-0.11125500518342567,-0.10244795941478174,-0.09578441604783798,-0.07776102371241174,285.4399108886719,95708100,290.1940596349241,290.9494643493356,290.31637483364005,282.55692996004325
2019-10-09,1727,3300,0.09887945205479451,-0.10552406000000003,-0.9268120000000001,0.852152,5027,-0.2610144742632909,0.9655354994357366,-0.11037332130905249,-0.1026758187173905,-0.09616636286949139,-0.07803727282970117,288.15057373046875,62359400,289.8796771880848,290.7421391183084,290.2314414570451,282.6125881070127
