,adjclose,EMA12
2019-03-19,276.7453308105469,273.64975755792585
2019-03-20,275.912353515625,273.99784924372574
2019-03-21,279.0287170410156,274.77182890484727
2019-03-22,273.65838623046875,274.60053003186596
2019-03-25,273.45263671875,274.42393106061735
2019-03-26,275.4909362792969,274.588085709645
2019-03-27,274.0503845214844,274.505362449928
2019-03-28,275.0892028808594,274.5951840546867
2019-03-29,276.8237609863281,274.93804204417
2019-04-01,280.1066589355469,275.7332138736126
2019-04-02,280.24383544921875,276.4271556544751
2019-04-03,280.6848449707031,277.08218478004864
2019-04-04,281.4295959472656,277.75101726731276
2019-04-05,282.79180908203125,278.5265237003464
2019-04-08,283.0074157714844,279.2158917112907
2019-04-09,281.5570068359375,279.57606326892864
2019-04-10,282.5174255371094,280.02858054095645
2019-04-11,282.43902587890625,280.3994182852564
2019-04-12,284.3499755859375,281.00719633151505
2019-04-15,284.16375732421875,281.4928210996233
2019-04-16,284.3499755859375,281.932383328287
2019-04-17,283.6541748046875,282.1972743246563
2019-04-18,284.2127380371094,282.50734566503365
2019-04-22,284.4577331542969,282.80740527876645
2019-04-23,287.0154724121094,283.4548002223577
2019-04-24,286.3785400390625,283.90460634800456
2019-04-25,286.2021179199219,284.25806966676106
2019-04-26,287.5348815917969,284.762194578305
2019-04-29,287.98565673828125,285.258111833686
2019-04-30,288.1326599121094,285.7003499995973
2019-05-01,285.9669189453125,285.7413606066304
2019-05-02,285.3495178222656,285.68107710134353
2019-05-03,288.1424560546875,286.0597507864734
2019-05-06,286.9566955566406,286.19774228957607
2019-05-07,282.16461181640625,285.5772606783192
2019-05-08,281.7725830078125,284.9919256520874
2019-05-09,280.9200439453125,284.36548231258354
2019-05-10,282.3312072753906,284.0525169222462
2019-05-13,275.23614501953125,282.6961520141362
2019-05-14,277.72528076171875,281.93140259068736
2019-05-15,279.35205078125,281.5345792353893
2019-05-16,281.9392395019531,281.5968346610145
2019-05-17,280.116455078125,281.3690839559546
2019-05-20,278.2643127441406,280.89142684644474
2019-05-21,280.7730407714844,280.87321360414313
2019-05-22,279.91064453125,280.7251260544673
2019-05-23,276.4905700683594,280.0736559027584
2019-05-24,277.11773681640625,279.61889912024265
2019-05-28,274.5404052734375,278.8375923745803
2019-05-29,272.6980285644531,277.89304409609923
2019-05-30,273.4427795410156,277.20838801070175
2019-05-31,269.7580871582031,276.0621878795481
2019-06-03,269.0721130371094,274.98679174994214
2019-06-04,274.91278076171875,274.9754054440616
2019-06-05,277.2941589355469,275.33213675044396
2019-06-06,279.0972595214844,275.9113864075271
2019-06-07,281.8901672363281,276.83119884272725
2019-06-10,283.18377685546875,277.80851853699517
2019-06-11,283.11517333984375,278.62492696820266
2019-06-12,282.6153869628906,279.23884389046236
