,Benchmark (SPY),Sentimental SPY
2019-08-01 00:00:00+00:00,1.05420482,1.061453309
2019-08-02 00:00:00+00:00,1.046267172,1.057508369
2019-08-05 00:00:00+00:00,1.014802684,1.041867276
2019-08-06 00:00:00+00:00,1.029033164,1.044744093
2019-08-07 00:00:00+00:00,1.02964105,1.044867726
2019-08-08 00:00:00+00:00,1.049842687,1.048951953
2019-08-09 00:00:00+00:00,1.042691657,1.047505953
2019-08-12 00:00:00+00:00,1.029998623,1.044940026
2019-08-13 00:00:00+00:00,1.04601686,1.048178343
2019-08-14 00:00:00+00:00,1.015088678,1.041924393
2019-08-15 00:00:00+00:00,1.017770314,1.042466643
2019-08-16 00:00:00+00:00,1.03278752,1.045503966
2019-08-19 00:00:00+00:00,1.045230243,1.048019283
2019-08-20 00:00:00+00:00,1.037221124,1.046399763
2019-08-21 00:00:00+00:00,1.045659396,1.048106766
2019-08-22 00:00:00+00:00,1.045337504,1.048040973
2019-08-23 00:00:00+00:00,1.01848546,1.042611966
2019-08-26 00:00:00+00:00,1.029748311,1.044889416
2019-08-27 00:00:00+00:00,1.025707961,1.044071703
2019-08-28 00:00:00+00:00,1.032930571,1.045532886
2019-08-29 00:00:00+00:00,1.046124121,1.048200033
2019-08-30 00:00:00+00:00,1.045659396,1.048106766
2019-09-03 00:00:00+00:00,1.039545187,1.046869713
2019-09-04 00:00:00+00:00,1.051344452,1.049256336
2019-09-05 00:00:00+00:00,1.064859894,1.051989276
2019-09-06 00:00:00+00:00,1.065682192,1.052154843
2019-09-09 00:00:00+00:00,1.066218607,1.052264016
2019-09-10 00:00:00+00:00,1.065968295,1.052213406
2019-09-11 00:00:00+00:00,1.073548369,1.053746166
2019-09-12 00:00:00+00:00,1.077266935,1.054498086
2019-09-13 00:00:00+00:00,1.076551789,1.054352763
2019-09-16 00:00:00+00:00,1.073226586,1.053675961
2019-09-17 00:00:00+00:00,1.075944012,1.055005961
2019-09-18 00:00:00+00:00,1.076587579,1.055320961
2019-09-19 00:00:00+00:00,1.076515998,1.055284211
2019-09-20 00:00:00+00:00,1.0665046,1.050384211
2019-09-23 00:00:00+00:00,1.066254288,1.050256486
2019-09-24 00:00:00+00:00,1.057887596,1.048606786
2019-09-25 00:00:00+00:00,1.064144747,1.049840536
2019-09-26 00:00:00+00:00,1.061927945,1.049404141
2019-09-27 00:00:00+00:00,1.0562071,1.048275436
2019-09-30 00:00:00+00:00,1.061105538,1.049241286
2019-10-01 00:00:00+00:00,1.048483974,1.046752636
2019-10-02 00:00:00+00:00,1.029962833,1.043100736
2019-10-03 00:00:00+00:00,1.038401105,1.044765241
2019-10-04 00:00:00+00:00,1.052452853,1.047535891
2019-10-07 00:00:00+00:00,1.047911879,1.046639836
2019-10-08 00:00:00+00:00,1.031643329,1.043432086
2019-10-09 00:00:00+00:00,1.041440205,1.045363786
2019-10-10 00:00:00+00:00,1.048483974,1.046752636
2019-10-11 00:00:00+00:00,1.05935357,1.048895836
2019-10-14 00:00:00+00:00,1.058173698,1.048663891
2019-10-15 00:00:00+00:00,1.068649931,1.050729541
2019-10-16 00:00:00+00:00,1.066933645,1.050390436
2019-10-17 00:00:00+00:00,1.070080115,1.051010836
2019-10-18 00:00:00+00:00,1.065396199,1.050087991
2019-10-21 00:00:00+00:00,1.0726187,1.051506101
2019-10-22 00:00:00+00:00,1.069114765,1.049781103
2019-10-23 00:00:00+00:00,1.072225446,1.051314043
2019-10-24 00:00:00+00:00,1.073977413,1.052175661
2019-10-25 00:00:00+00:00,1.078375336,1.054344683
2019-10-28 00:00:00+00:00,1.084453646,1.057329656
2019-10-29 00:00:00+00:00,1.084131863,1.057015106
2019-10-30 00:00:00+00:00,1.087457175,1.060268951
2019-10-31 00:00:00+00:00,1.084560907,1.057434506
2019-11-01 00:00:00+00:00,1.094608205,1.067258951
2019-11-04 00:00:00+00:00,1.099006018,1.071554306
2019-11-05 00:00:00+00:00,1.097790356,1.070366006
2019-11-06 00:00:00+00:00,1.098040668,1.070614151
2019-11-07 00:00:00+00:00,1.101902177,1.074385256
2019-11-08 00:00:00+00:00,1.104619603,1.077044951
2019-11-11 00:00:00+00:00,1.102510062,1.074982901
2019-11-12 00:00:00+00:00,1.104834125,1.077254651
2019-11-13 00:00:00+00:00,1.105191698,1.077604151
2019-11-14 00:00:00+00:00,1.106800615,1.079173406
2019-11-15 00:00:00+00:00,1.114809842,1.087005701
2019-11-18 00:00:00+00:00,1.115632141,1.087806056
2019-11-19 00:00:00+00:00,1.115310358,1.087491506
2019-11-20 00:00:00+00:00,1.111162747,1.083437306
2019-11-21 00:00:00+00:00,1.10937499,1.081689806
2019-11-22 00:00:00+00:00,1.111842104,1.084101356
2019-11-25 00:00:00+00:00,1.120459108,1.092519036
2019-11-26 00:00:00+00:00,1.122997693,1.094252146
2019-11-27 00:00:00+00:00,1.128003501,1.097671987
2019-11-29 00:00:00+00:00,1.123820101,1.094813576
2019-12-02 00:00:00+00:00,1.114273537,1.088293337
2019-12-03 00:00:00+00:00,1.106800615,1.081010384
2019-12-04 00:00:00+00:00,1.113629861,1.087662914
2019-12-05 00:00:00+00:00,1.115632141,1.089613394
2019-12-06 00:00:00+00:00,1.12582238,1.099539944
2019-12-09 00:00:00+00:00,1.122282656,1.096090067
2019-12-10 00:00:00+00:00,1.121031203,1.095231872
2019-12-11 00:00:00+00:00,1.124213464,1.097410367
2019-12-12 00:00:00+00:00,1.133903079,1.104036317
2019-12-13 00:00:00+00:00,1.134582436,1.104500867
2019-12-16 00:00:00+00:00,1.142377032,1.109825792
2019-12-17 00:00:00+00:00,1.142627344,1.110069392
2019-12-18 00:00:00+00:00,1.142698815,1.110135512
2019-12-19 00:00:00+00:00,1.147382731,1.114694312
2019-12-20 00:00:00+00:00,1.146774955,1.114106192
2019-12-23 00:00:00+00:00,1.148526922,1.115811392
2019-12-24 00:00:00+00:00,1.148562712,1.115846192
2019-12-26 00:00:00+00:00,1.154676812,1.121796992
2019-12-27 00:00:00+00:00,1.15439071,1.121515112
2019-12-30 00:00:00+00:00,1.148026298,1.115315472
2019-12-31 00:00:00+00:00,1.150815195,1.117212432
